name	level	heat	longitude	latitude
漳州土楼群		0.7	117.101623	24.662736
灵岩寺	4A	0.72	116.990164	36.367863
曹操运兵道		0	115.785453	33.878107
旅顺胜利塔		0.7	121.24673	38.813707
韶关云门山		0	113.332853	24.819132
山海关孟姜女庙景区		0.72	119.830169	40.043153
招宝山	4A	0.74	121.731148	29.964855
沈万三故居		0	120.864508	31.118359
锦里		0.82	104.056424	30.651723
大雁塔地下宫		0	108.969204	34.224847
金山岭长城	4A	0.74	117.25213	40.692652
须弥山石窟旅游区	4A	0.94	105.997735	36.281909
杭州岳王庙		0.74	120.141477	30.258698
绍兴古城		0	120.593109	29.998241
回龙天界山生态旅游景区		0	113.614052	35.59211
燊海井		0	104.79442	29.379987
中途岛号航空母舰博物馆		0	-117.1751251	32.71373749
石家庄抱犊寨	4A	0.88	114.347321	38.084703
大三巴牌坊		1	113.552451	22.200496
徽州古城	5A	0.7	118.442455	29.871875
皤滩古镇		0.72	120.543053	28.747203
普拉多博物馆		1	-3.692126825	40.41378149
自力村碉楼群		0.76	112.586516	22.376606
关林庙	4A	0.8	112.490039	34.613008
云居寺	4A	0.7	115.785016	39.613983
五磊山	3A	0.7	121.396522	30.088921
正定隆兴寺（大佛寺）	4A	1	114.588945	38.148799
普济寺		0.78	122.37957	29.994925
真理寺		0	100.8891036	12.9727431
铁山寺国家森林公园	4A	0.9	118.483689	32.739871
党家村		0.7	110.483412	35.549951
兰州新区长城西部影视城		0	103.630289	36.466438
兴坪古镇	3A	0.78	110.532904	24.922843
怀远楼	3A	1	117.100916	24.677671
赫图阿拉城	4A	1	124.871397	41.710011
惠山古镇		0	120.280064	31.586743
噶丹松赞林寺	4A	0.9	99.712056	27.86626
龟山汉墓	3A	0.96	117.144217	34.313706
浮来山	4A	0.7	118.745159	35.606198
岳飞庙	4A	0.74	114.361069	35.926196
汉江燕翔洞生态旅游景区	4A	0	108.160561	32.800529
李坑	4A	0.86	117.936953	29.328547
独乐寺	4A	0.74	117.410073	40.05099
詹园	4A	0.76	113.337474	22.440491
广元千佛崖		0	105.852944	32.477363
束河古镇		0	100.211847	26.922349
泸定桥		0.78	102.2315573	29.91179333
中华门瓮城景区		0.82	118.788411	32.018996
广府古城	5A	0	114.732236	36.703348
洪崖丹井		0.72	115.736938	28.731557
仙桥地下河		0	113.349494	24.281674
城隍庙旅游区		0	121.499109	31.231135
桂林尧山景区	4A	0.72	110.376112	25.298585
清西陵	4A	0.86	115.352505	39.355767
汉太史司马迁祠	4A	0.7	110.418165	35.378272
千灵山		0	116.08564	39.87158
满城汉墓	4A	0.78	115.307398	38.955251
华阳古镇	4A	0	107.56913	33.575586
海南永庆寺文化旅游区		0	110.103838	19.987345
中国?周原景区		0	107.606948	34.480826
汪山土库	3A	0.7	115.916954	29.017306
清凉山	3A	0.8	109.498262	36.60855
沙湾古镇		0	113.340932	22.909438
大都会艺术博物馆		1	-73.963244	40.7794366
米公祠	3A	0.78	112.151427	32.03538
友谊关	4A	0.74	106.722212	21.979641
鹿邑太清宫		0.78	115.560438	33.86283
富春江小三峡	4A	0.7	119.66548	29.704576
岜沙苗寨		0.78	108.873228	25.726854
圆通寺	3A	0	120.636887	31.151799
铜官窑		0	112.840208	28.42495
图腾古道	4A	0.74	110.499448	24.754559
古城七十二府		0	100.6208533	13.539215
圆玄道观		0.7	113.186614	23.404291
宋庆龄祖居		0.7	110.877511	19.745748
磁器口古镇	4A	0.8	106.458175	29.585837
岱庙		0.84	117.137797	36.200222
广富林文化遗址		0	121.20174	31.063886
明道宫	4A	0	115.501255	33.866619
中国苗王城	4A	0	109.250957	27.965436
千佛洞	3A	0.7	112.146698	28.219775
栈桥		1	120.326563	36.065428
海龙屯		0.72	106.929097	27.7266137
严子陵钓台	4A	0.7	119.665525	29.703242
西津渡历史文化街	4A	0	119.436605	32.221625
普洱茶马古道旅游景区	4A	1	100.996553	22.82511
镇远青龙洞	3A	0.74	108.440226	27.055462
下司古镇		0.7	107.8104316	26.52156703
柏孜克里克千佛洞		0.7	89.547754	42.963367
士林官邸		1	121.5301354	25.09393447
慈城古县城		0.72	121.457134	29.989679
郑氏十七房	4A	0.7	121.614114	30.027024
青州古城	5A	0	118.485248	36.690079
中国渔村	4A	0.72	121.966257	29.243854
泰州凤城河景区	4A	0	119.933778	32.487871
天上王城	4A	0.92	118.371203	35.957777
南翔古镇	4A	0	121.31467	31.297407
花戏楼	4A	0.7	115.779926	33.890649
龙川风景区	5A	1	118.674492	30.081468
严家大院		0	100.138448	25.858738
桥溪古韵		0	116.375616	24.37905
天宁禅寺	4A	0.8	119.976285	31.779932
宾阳楼		0	112.222385	30.353953
曹丞相府	3A	0.86	113.83404	34.036566
六鼎山文化旅游区	5A	0	128.25024	43.32451
塔川		0.72	118.014216	30.024012
邓小平故里	5A	0.84	106.646456	30.529652
九门口长城	4A	0.92	119.757809	40.123709
小乔墓		0	113.101107	29.388857
大别山风情谷	4A	0	116.559935	31.495078
百岁宫缆车		0.76	117.811228	30.485116
梅溪牌坊		0.76	113.522515	22.291417
泰宁明清园		0	117.215926	26.919568
兴文石海		0.7	105.145189	28.178225
三王峪	3A	0.7	117.401699	36.535495
重庆潼南大佛寺	4A	0.7	105.815677	30.193003
虞山	5A	0.74	120.724459	31.667161
天龙屯堡		0.78	106.169488	26.357418
老君山		0.72	99.782756	26.653706
尧庙	4A	0.84	111.502607	36.057412
三坊七巷	5A	1	119.303907	26.088959
汉文化景区	4A	0.82	117.228773	34.249545
程阳八寨景区	4A	0.7	109.647018	25.901019
白龙观		0.72	120.116269	31.775349
老子故里	4A	0.8	115.560445	33.8627
中国漕运博物馆	4A	0	119.151557	33.514383
登封大熊山摘星楼景区		0	113.114572	34.280488
奎尔公园		0	2.1505058	41.4144948
羑里城	4A	0	114.36214	35.960932
悉尼塔		0.72	151.20876	-33.870451
柬埔寨民俗文化村		0	103.83138	13.377851
青岛一战遗址博物馆	3A	0	120.351415	36.07498
丰都鬼城	4A	0.74	107.731507	29.891926
淮安府署	4A	0	119.152085	33.516746
安义古村	3A	0.7	115.612762	28.754027
乾州古城	4A	0	109.705056	28.262146
悟孟寺		0	98.9511935	18.7833398
黄大仙祠		0.74	114.205626	22.345962
沙扒湾		0.76	111.479697	21.518189
孟良崮	4A	0.8	118.192291	35.542895
佛冈观音山王山寺风景区		0	113.489767	23.944098
佩纳宫		0	-9.390598271	38.78760173
东山雕花楼		0.7	120.411242	31.084392
四门塔		0.72	117.141164	36.458149
大沽口炮台遗址		0.74	117.716282	38.983338
大境门	4A	0.96	114.893249	40.849934
芒砀山旅游区	5A	0	116.494404	34.182804
广西《坐妹》大型实景演出		0	109.621558	25.785558
霍比特村		0	175.6807438	-37.8721253
山顶大佛		0	98.312833	7.8277082
齐鲁第一大佛青铜山大峡谷		0	117.131448	36.54233
潭柘寺	4A	0.7	116.03762	39.91122
江村	4A	0.76	118.3963	30.21752
北山景区		0.72	105.716678	29.718935
长陵		0.72	116.255282	40.304419
水绘园	4A	0.72	120.574196	32.401482
柳氏民居	4A	0.74	112.156957	35.564853
徽杭古道	4A	0	118.775769	30.145473
孔子六艺城	4A	0.72	117.002815	35.586768
自由女神像		0.74	-74.04450106	40.68924965
双林寺	4A	0.76	112.138055	37.176495
朱家峪民俗旅游区	4A	0.7	117.598251	36.665029
济公故居	4A	0.72	121.041757	29.150337
曼谷卧佛寺		0	100.4932997	13.74652088
靖港古镇	4A	0	112.79129	28.46227
石岛赤山	4A	0.8	122.408683	36.908852
独克宗古城		0	99.711245	27.818577
榆次老城		0.72	112.757853	37.685556
汉中武侯墓风景区	4A	0	106.660676	33.130082
天后宫		0.7	113.621285	22.761851
